História,contador,ID,Prioridade,Pré-Condição,Cenário,BDD (Gherkin),Status final,Fluxo para Regressão?,Funcionalidade Principal,Funcionalidade secundária,Data de criação,Data de atualização,Status CT,Status da execução WEB,Dispositivo Mobile,Status da execução Mobile,Execução feita via API?,Versão regressão,Ciclo da execução,Automatizado?,Versão_Compilada,Execução Finalizada?,FALSE,Limpar dados da execução,FALSE,Data da automatização
TSF-844,1,TSF-844 | CT~01,Média,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce via API
2 - Utilizando a API via Postman
3 - Autenticado no sistema para enviar a requisição
4 - Dados do boady:
{
""FirstName"": ""Nome"",
""LastName"": ""SobreNome"",
""CPF__c"": ""xxx.xxx.xxx-xx"",
""Email"": ""xxx@email.com"",
""WhatsApp__c"": ""11999999999"",
""Title"": ""Desenvolvedor"",
""Company"": ""Nome da empresa"",
""CNPJ_do_Lead__c"": ""xx.xxx.xxx/0001-xx"",
""TamanhoEmpresa__c"": ""Grande"",
""RespostasQuiz__c"": ""Respostas Aqui"",
""DataConclusaoQuiz__c"": ""2025-06-25"",
""PerfilQuiz__c"": ""Perfil aqui"",
""UTM_Source__c"": ""utm-123"",
""UTM_Campaign__c"" : ""utm-123"",
""UTM_Medium__c"": ""utm-123"",
""RecordTypeId"": ""0123Z0000010OghQAE"",
""LeadSource"": ""Eventos"",
""Sub_Origem__c"": ""Fórum e-commerce"",
""Status"": ""Triagem"",
""Tipo_de_Venda__c"": ""Cliente Novo"",
""Via_Integracao__c"": true,
""Produto_Pontencial__c"": ""RA Reviews""
}",01Enviar requisição API criando um novo lead - Playerum x SF,"Given que usuário informe um Id externo válido na URL da chamada
And alterar os dados necessários do body
When enviar requisição
Then o sistema realiza a criação do novo lead indicando que o campo Sub Origem foi criado = ""Forum E-commerce"", além de retornar todos os campos com preenchimento enviado via requisição",✅ Aprovado,,02.1 - Leads,Integração Playerum,02/10/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-844,2,TSF-844 | CT-02,Alta,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce
2 - Possuir permissões para acessar ao objeto do caso de teste
3 - Logado no sistema Salesforce no objeto Lead",02Criar novo Lead,"Given que usuário acesse o objeto Lead
And inicie a criação do Lead
And preencher os dados obrigatórios
When finalizar a criação do lead
Then o sistema retorna mensagem de sucesso",✅ Aprovado,,02.1 - Leads,Criação do lead,02/10/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-844,3,TSF-844 | CT-03,Alta,"Usuário com as seguinte condições:
1 - Possuir Lead Criado",02Criar Conta via Lead,"Given que usuário acesse o Lead criado
And inicie a criação da Conta pelo Lead
When finalizar a criação do Conta
Then o sistema retorna mensagem de sucesso com o link para a empresa",✅ Aprovado,,02.1 - Leads,Lead - Empresa,02/10/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-844,4,TSF-844 | CT-04,Alta,"Usuário com as seguinte condições:
1 - Possuir Lead Criado
2 - Lead apenas com as informações obrigatórias preenchidas no momento da criação
3 - Possuir Empresa criada",03Converter Lead,"Given que usuário aprovador acesse a empresa
When clicar na opção de aprovar auditoria
Then o sistema realiza a aprovação e libera a empresa para edição",✅ Aprovado,,02.1 - Leads,Lead converção,15/07/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,15/07/2025
TSF-844,5,TSF-844 | CT~05,Baixa,"Usuário com as seguinte condições:
1 - Possuir Lead Criado",04Dar Lead como Perdido,"Given que usuário acesse o Lead criado
And indique que o Lead foi perdido
When finalizar o processo de Lead perdido
Then o sistema retorna mensagem de sucesso
And o status do lead é alterado para perdido",✅ Aprovado,,02.1 - Leads,Lead perdido,02/10/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-1051,6,TSF-1051 | CT~06,Alta,"Usuário com as seguinte condições:
1 - Possuir acesso ao ambiente SalesForce via API
2 - Utilizando a API via Postman
3 - Autenticado no sistema para enviar a requisição
4 - Dados do boady:
{
  ""FirstName"": ""Rafael"",
  ""LastName"": ""Souza"",
  ""ID_Reclame_Aqui__c"" : ""50512"",
  ""CPF__c"": ""xxx.xxx.xxx-xx"",
  ""OwnerId"" : ""005bJ000004qZqjQAE"",
  ""Email"": ""rafael.souza+1@sofist.co"",
  ""WhatsApp__c"": ""11999999999"",
  ""Title"": ""Desenvolvedor"",
  ""Company"": ""arrom arrom"",
  ""TamanhoEmpresa__c"": ""Grande"",
  ""RespostasQuiz__c"": ""Respostas Aqui"",
  ""DataConclusaoQuiz__c"": ""2025-06-25"",
  ""PerfilQuiz__c"": ""Perfil aqui"",
  ""UTM_Source__c"": ""utm-123"",
  ""UTM_Campaign__c"" : ""utm-123"",
  ""UTM_Medium__c"": ""utm-123"",
 ""NumeroSorteio__c"": 1,
  ""RecordTypeId"": ""0123Z0000010OghQAE"",
  ""LeadSource"": ""Eventos"",
  ""Sub_Origem__c"": ""Vtex"",
  ""Status"": ""Triagem"",
  ""Tipo_de_Venda__c"": ""Cliente Novo"",
  ""Via_Integracao__c"": true,
  ""Produto_Pontencial__c"": ""Brand Page Avançada""
}",04.1Conversão automática de Lead,"Dado que eu tenho os dados para um Lead do tipo ""AutCon""
    Quando eu envio uma requisição PATCH para o upsert do Lead
    Então a resposta da API de upsert deve ser bem-sucedida
    Quando eu executo o schedule de distribuição de Leads
    E o Lead no Salesforce deve estar com o status ""Convertido""
    # NOTA TSF-1705: Este teste usa uma Account MidTouch/LowTouch com contrato ativo
    # O scheduler DistribuicaoLeadsSchedule converte o Lead automaticamente
",✅ Aprovado,,02.1 - Leads,Modal de criação,29/12/2025,09/12/2025,Ativo,OK,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,29/12/2025
TSF-812,7,TSF-812 | CT~07,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
2 - Possuir CNPJ
3 - Possuir ID ReclameAqui válido
","05Concluir a criação de uma Conta Nacional do tipo ""Empresa""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo empresa
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Modal de criação,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-812,8,TSF-812 | CT~08,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
2 - Possuir CNPJ
3 - Possuir ID ReclameAqui válido
","05Concluir a criação de uma Conta Nacional do tipo ""Faturamento""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo Estrangeira
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Modal de criação,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-812,9,TSF-812 | CT~09,Alta,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
2 - Possuir CNPJ
3 - Possuir ID ReclameAqui válido
","05Concluir a criação de uma Conta Nacional do tipo ""Grupo economico""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo Grupo Econômico
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-812,10,TSF-812 | CT~10,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
","05Concluir a criação de uma Conta Estrangeira do tipo ""Empresa""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo Grupo Econômico
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
TSF-812,11,TSF-812 | CT~11,Média,"Usuário com as seguintes condições:
1 - Logado no sistema Salesforce no objeto empresa
","05Concluir a criação de uma Conta Estrangeira do tipo ""Faturamento""","Given usuário inicie a criação de empresa
And usuário preencher as informações do cadastro da Conta
When finalizar o processo de criação de conta Nacional do tipo Grupo Econômico
Then o sistema retorna mensagem de sucesso
And redireciona o usuário para a Conta recém criada",🛎️ Item com pendência de execução,,03 - Empresa,Hierarquia,02/10/2025,,Ativo,NO RUN,,NA,,S20 - Republic is made,1,Automatizado,S20 - Republic is made - V1,,,,,02/10/2025
